,Pk_ID,Match_No,Game,POINT,Shot_no,Played_by,Shot,Placement,SCORE,LUCKY,TIMEOUT,SetWonby,ErrorType,Player_A_Name,Player_B_Name,Date,AttackingNonAttacking,AttackingNonAttacking_New,Combination_field,BinaryofAttackShot,POINT_AttackCombination,AttackedFirst,SERVICE_BY,RECEIVE,WINNER_SHOT_BY,MISSED_SHOT_BY,MissedType,WON_BY,Lost_BY,SCOREA,SCOREB,shots1_3,shots2_4,Last3shots,LastAnd3rdLast,LastAnd3rdLast_Placement,Second_Last_Shot,Last_Shot,Third_Last_Shot,First_Shot,Second_Shot,pointon2ndshot,pointon3rdshot,pointon4thshot,Point2ServiceByName,Point2Shot,Point2placement,Point3RerviceByName,Point3Shot,Point3placement,Serve_Place,Second_Last_placement,Second_Last_Reverse_Placement,WinnerShot,Unconditional,Conditional,WinType,Loston4th_1stshot,Loston4th_2ndshot,Loston4th_3rdshot,Loston4th_4thshot,Errorplacement,PlayerType,PlacementR_L,ErrorPlacementR_L,PlayingStyle,RubberCombination,Opponent,Opponent_Player_Type,Fourth_Last_Second_Last_Placement,Movement,Movement_new,PlayerAType,PlayerBType,Placement_A_B,X,Y,WinnerShotGTL,Gender,World_Rank,Reverse_Placement,Reverse_Row_ID,PLAYERA_ID,PLAYERB_ID,primary_key,ProcessStatus,ProcessMessage,ProcessDatetime,DataSource,ShotCodeIds,DataLock,UploadId,MatchType
56,57,3,1,18,2,Manush,FH-P,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-1-18,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-RBSS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Diagonal Movement,Lefty,Lefty,FHLA,0,0,,M,,FHL,3,SPO_TT_2,SPO_TT_13,49331,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
57,58,3,1,18,3,Wesley,FH-TS,CL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-1-18,1,1,,,,,,,,,99,99,FH-RBSS-FH-TS,,,,,,,,FH-RBSS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Diagonal Movement,Lefty,Lefty,CLB,0,0,FH-TS,M,,CL,2,SPO_TT_2,SPO_TT_13,49332,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
58,59,3,1,18,4,Manush,BH-BK,MISSED,8-10,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-1-18,0,0,Wesley,,,,Manush,MISSED,Wesley,Manush,1,0,,FH-P-BH-BK,FH-P-FH-TS-BH-BK,FH-P-BH-BK,FHS-CL,FH-TS,BH-BK,FH-P,FH-RBSS,FH-P,0,0,1,,,,,,,,CL,CL,FH-TS,,FH-TS,Conditional,FH-RBSS,FH-P,FH-TS,BH-BK,CL,Lefty,MISSED,CL,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,FHS-CL,Diagonal Movement,Diagonal Movement,Lefty,Lefty,MISSEDA,0,0,,M,,MISSED,1,SPO_TT_2,SPO_TT_13,49333,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
59,60,3,1,19,1,Manush,FH-BSL,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-1-19,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-BSL,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Lateral Movement,Lefty,Lefty,FHLA,0,0,,M,,FHL,4,SPO_TT_2,SPO_TT_13,49334,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
60,61,3,1,19,2,Wesley,FH-TS,EFHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-1-19,1,1,,,Y,,,,,,99,99,,,,,,,,,FH-BSL,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,EBHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Lateral Movement,Lefty,Lefty,EBHLB,0,0,,M,,EBHL,3,SPO_TT_2,SPO_TT_13,49335,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
61,62,3,1,19,3,Manush,FH-BK,CL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-1-19,0,0,,,,,,,,,99,99,FH-BSL-FH-BK,,,,,,,,FH-BSL,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Lateral Movement,Lefty,Lefty,CLA,0,0,FH-BK,M,,CL,2,SPO_TT_2,SPO_TT_13,49336,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
62,63,3,1,19,4,Wesley,FH-TS,MISSED,8-11,,,Manush,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-1-19,1,0,Wesley,,,,Wesley,MISSED,Manush,Wesley,0,1,,FH-TS-FH-TS,FH-TS-FH-BK-FH-TS,FH-TS-FH-TS,BHL-CL,FH-BK,FH-TS,FH-TS,FH-BSL,FH-TS,0,0,1,,,,,,,,CL,CL,FH-BK,,FH-BK,Conditional,FH-BSL,FH-TS,FH-BK,FH-TS,CL,Lefty,MISSED,CL,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,BHL-CL,Lateral Movement,Lateral Movement,Lefty,Lefty,MISSEDB,0,0,,M,,MISSED,1,SPO_TT_2,SPO_TT_13,49337,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
63,64,3,2,1,1,Manush,SH-BSS,FHS,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-1,0,1,,Y,,,,,,,99,99,,,,,,,,,SH-BSS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHS,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,BHSA,0,0,,M,,BHS,3,SPO_TT_2,SPO_TT_13,49338,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
64,65,3,2,1,2,Wesley,FH-P,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-1,0,0,,,Y,,,,,,99,99,,,,,,,,,SH-BSS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,FHLB,0,0,FH-P,M,,FHL,2,SPO_TT_2,SPO_TT_13,49339,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
65,66,3,2,1,3,Manush,FH-TS,MISSED,1-0,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-1,1,1,Manush,,,,Manush,MISSED,Wesley,Manush,1,0,SH-BSS-FH-TS,,SH-BSS-FH-P-FH-TS,SH-BSS-FH-TS,,FH-P,FH-TS,SH-BSS,SH-BSS,FH-P,0,1,0,,,,Wesley,FH-P,BHL,SH-BSS-FHS,BHL,FHL,FH-P,,FH-P,Conditional,,,,,FHL,Lefty,MISSED,FHL,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,MISSEDA,0,0,,M,,MISSED,1,SPO_TT_2,SPO_TT_13,49340,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
