,Pk_ID,Match_No,Game,POINT,Shot_no,Played_by,Shot,Placement,SCORE,LUCKY,TIMEOUT,SetWonby,ErrorType,Player_A_Name,Player_B_Name,Date,AttackingNonAttacking,AttackingNonAttacking_New,Combination_field,BinaryofAttackShot,POINT_AttackCombination,AttackedFirst,SERVICE_BY,RECEIVE,WINNER_SHOT_BY,MISSED_SHOT_BY,MissedType,WON_BY,Lost_BY,SCOREA,SCOREB,shots1_3,shots2_4,Last3shots,LastAnd3rdLast,LastAnd3rdLast_Placement,Second_Last_Shot,Last_Shot,Third_Last_Shot,First_Shot,Second_Shot,pointon2ndshot,pointon3rdshot,pointon4thshot,Point2ServiceByName,Point2Shot,Point2placement,Point3RerviceByName,Point3Shot,Point3placement,Serve_Place,Second_Last_placement,Second_Last_Reverse_Placement,WinnerShot,Unconditional,Conditional,WinType,Loston4th_1stshot,Loston4th_2ndshot,Loston4th_3rdshot,Loston4th_4thshot,Errorplacement,PlayerType,PlacementR_L,ErrorPlacementR_L,PlayingStyle,RubberCombination,Opponent,Opponent_Player_Type,Fourth_Last_Second_Last_Placement,Movement,Movement_new,PlayerAType,PlayerBType,Placement_A_B,X,Y,WinnerShotGTL,Gender,World_Rank,Reverse_Placement,Reverse_Row_ID,PLAYERA_ID,PLAYERB_ID,primary_key,ProcessStatus,ProcessMessage,ProcessDatetime,DataSource,ShotCodeIds,DataLock,UploadId,MatchType
76,77,3,2,5,2,Wesley,BH-P,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-5,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-BSS,BH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Lateral Movement,Lefty,Lefty,FHLB,0,0,,M,,FHL,5,SPO_TT_2,SPO_TT_13,49351,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
77,78,3,2,5,3,Manush,FH-TS,BHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-5,1,1,,,,,,,,,99,99,FH-BSS-FH-TS,,,,,,,,FH-BSS,BH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Lateral Movement,Lefty,Lefty,FHLA,0,0,,M,,FHL,4,SPO_TT_2,SPO_TT_13,49352,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
78,79,3,2,5,4,Wesley,BH-BK,FHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-5,0,0,,,,,,,,,99,99,,BH-P-BH-BK,,,,,,,FH-BSS,BH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Lateral Movement,Lefty,Lefty,BHLB,0,0,,M,,BHL,3,SPO_TT_2,SPO_TT_13,49353,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
79,80,3,2,5,5,Manush,FH-TS,FHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-5,1,0,,,,,,,,,99,99,,,,,,,,,FH-BSS,BH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Lateral Movement,Lefty,Lefty,BHLA,0,0,FH-TS,M,,BHL,2,SPO_TT_2,SPO_TT_13,49354,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
80,81,3,2,5,6,Wesley,FH-BK,MISSED,3-2,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-5,0,0,Manush,,,,Wesley,MISSED,Manush,Wesley,0,1,,,BH-BK-FH-TS-FH-BK,BH-BK-FH-BK,BHL-FHL,FH-TS,FH-BK,BH-BK,FH-BSS,BH-P,0,0,0,,,,,,,,FHL,BHL,FH-TS,,FH-TS,Conditional,,,,,BHL,Lefty,MISSED,BHL,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,BHL-FHL,Lateral Movement,Lateral Movement,Lefty,Lefty,MISSEDB,0,0,,M,,MISSED,1,SPO_TT_2,SPO_TT_13,49355,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
81,82,3,2,6,1,Manush,FH-BSSO,CH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-6,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-BSSO,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CH,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Others,Lefty,Lefty,CHA,0,0,,M,,CH,5,SPO_TT_2,SPO_TT_13,49356,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
82,83,3,2,6,2,Wesley,FH-TS,FHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-6,1,1,,,Y,,,,,,99,99,,,,,,,,,FH-BSSO,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Others,Lefty,Lefty,BHLB,0,0,,M,,BHL,4,SPO_TT_2,SPO_TT_13,49357,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
83,84,3,2,6,3,Manush,FH-BK,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-6,0,0,,,,,,,,,99,99,FH-BSSO-FH-BK,,,,,,,,FH-BSSO,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Others,Lefty,Lefty,FHLA,0,0,,M,,FHL,3,SPO_TT_2,SPO_TT_13,49358,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
84,85,3,2,6,4,Wesley,FH-TS,FHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-6,1,0,,,,,,,,,99,99,,FH-TS-FH-TS,,,,,,,FH-BSSO,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Others,Lefty,Lefty,BHLB,0,0,FH-TS,M,,BHL,2,SPO_TT_2,SPO_TT_13,49359,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
85,86,3,2,6,5,Manush,FH-TS,MISSED,4-2,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-6,1,0,Wesley,,,,Manush,MISSED,Wesley,Manush,1,0,,,FH-BK-FH-TS-FH-TS,FH-BK-FH-TS,FHL-FHL,FH-TS,FH-TS,FH-BK,FH-BSSO,FH-TS,0,0,0,,,,,,,,FHL,BHL,FH-TS,,FH-TS,Conditional,,,,,BHL,Lefty,MISSED,BHL,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,FHL-FHL,Others,Others,Lefty,Lefty,MISSEDA,0,0,,M,,MISSED,1,SPO_TT_2,SPO_TT_13,49360,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
86,87,3,2,7,1,Wesley,FH-SBS,CS,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-7,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CS,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Diagonal Movement,Lefty,Lefty,CSB,0,0,,M,,CS,4,SPO_TT_2,SPO_TT_13,49361,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
87,88,3,2,7,2,Manush,FH-P,CL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-7,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Diagonal Movement,Lefty,Lefty,CLA,0,0,,M,,CL,3,SPO_TT_2,SPO_TT_13,49362,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
88,89,3,2,7,3,Wesley,FH-TS,FHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-7,1,1,,,,,,,,,99,99,FH-SBS-FH-TS,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Diagonal Movement,Lefty,Lefty,BHLB,0,0,FH-TS,M,,BHL,2,SPO_TT_2,SPO_TT_13,49363,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
89,90,3,2,7,4,Manush,FH-BK,MISSED,5-2,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-7,0,0,Wesley,,,,Manush,MISSED,Wesley,Manush,1,0,,FH-P-FH-BK,FH-P-FH-TS-FH-BK,FH-P-FH-BK,CS-FHL,FH-TS,FH-BK,FH-P,FH-SBS,FH-P,0,0,1,,,,,,,,FHL,BHL,FH-TS,,FH-TS,Conditional,FH-SBS,FH-P,FH-TS,FH-BK,BHL,Lefty,MISSED,BHL,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,CS-FHL,Diagonal Movement,Diagonal Movement,Lefty,Lefty,MISSEDA,0,0,,M,,MISSED,1,SPO_TT_2,SPO_TT_13,49364,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
90,91,3,2,8,1,Wesley,FH-RBSS,FHS,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-8,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-RBSS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHS,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,BHSB,0,0,,M,,BHS,3,SPO_TT_2,SPO_TT_13,49365,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
91,92,3,2,8,2,Manush,FH-P,FHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-8,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-RBSS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,BHLA,0,0,FH-P,M,,BHL,2,SPO_TT_2,SPO_TT_13,49366,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
92,93,3,2,8,3,Wesley,FH-TS,OUT,5-3,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-8,1,1,Wesley,,,,Wesley,OUT,Manush,Wesley,0,1,FH-RBSS-FH-TS,,FH-RBSS-FH-P-FH-TS,FH-RBSS-FH-TS,,FH-P,FH-TS,FH-RBSS,FH-RBSS,FH-P,0,1,0,,,,Manush,FH-P,FHL,FH-RBSS-FHS,FHL,BHL,FH-P,,FH-P,Conditional,,,,,BHL,Lefty,OUT,BHL,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,OUTB,0,0,,M,,OUT,1,SPO_TT_2,SPO_TT_13,49367,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
93,94,3,2,9,1,Manush,FH-BSS,CS,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-9,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-BSS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CS,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,CSA,0,0,FH-BSS,M,,CS,2,SPO_TT_2,SPO_TT_13,49368,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
94,95,3,2,9,2,Wesley,FH-P,NET,5-4,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-9,0,0,,,Y,,Wesley,NET,Manush,Wesley,0,1,,,,,,FH-BSS,FH-P,,FH-BSS,FH-P,1,0,0,Manush,FH-BSS,CS,,,,,CS,CS,FH-BSS,,FH-BSS,Conditional,,,,,CS,Lefty,NET,CS,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,NETB,0,0,,M,,NET,1,SPO_TT_2,SPO_TT_13,49369,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
95,96,3,2,10,1,Manush,FH-SSL,FHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-10,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-SSL,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,BHLA,0,0,FH-SSL,M,,BHL,2,SPO_TT_2,SPO_TT_13,49370,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
96,97,3,2,10,2,Wesley,FH-TS,OUT,5-5,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-10,1,1,Wesley,,Y,,Wesley,OUT,Manush,Wesley,0,1,,,,,,FH-SSL,FH-TS,,FH-SSL,FH-TS,1,0,0,Manush,FH-SSL,FHL,,,,,FHL,BHL,FH-SSL,,FH-SSL,Conditional,,,,,BHL,Lefty,OUT,BHL,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,OUTB,0,0,,M,,OUT,1,SPO_TT_2,SPO_TT_13,49371,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
97,98,3,2,11,1,Wesley,FH-RBSS,BHH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-11,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-RBSS,BH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHH,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,FHHB,0,0,FH-RBSS,M,,FHH,2,SPO_TT_2,SPO_TT_13,49372,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
98,99,3,2,11,2,Manush,BH-P,NET,6-5,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-11,0,0,,,Y,,Manush,NET,Wesley,Manush,1,0,,,,,,FH-RBSS,BH-P,,FH-RBSS,BH-P,1,0,0,Wesley,FH-RBSS,BHH,,,,,BHH,FHH,FH-RBSS,,FH-RBSS,Conditional,,,,,FHH,Lefty,NET,FHH,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,NETA,0,0,,M,,NET,1,SPO_TT_2,SPO_TT_13,49373,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
99,100,3,2,12,1,Wesley,FH-RBSS,CS,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-12,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-RBSS,BN-FP,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CS,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,CSB,0,0,,M,,CS,3,SPO_TT_2,SPO_TT_13,49374,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
100,101,3,2,12,2,Manush,BN-FP,FHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-12,1,1,,,Y,,,,,,99,99,,,,,,,,,FH-RBSS,BN-FP,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,BHLA,0,0,BN-FP,M,,BHL,2,SPO_TT_2,SPO_TT_13,49375,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
101,102,3,2,12,3,Wesley,FH-BK,MISSED,6-6,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-12,0,0,Manush,,,,Wesley,MISSED,Manush,Wesley,0,1,FH-RBSS-FH-BK,,FH-RBSS-BN-FP-FH-BK,FH-RBSS-FH-BK,,BN-FP,FH-BK,FH-RBSS,FH-RBSS,BN-FP,0,1,0,,,,Manush,BN-FP,FHL,FH-RBSS-CS,FHL,BHL,BN-FP,,BN-FP,Conditional,,,,,BHL,Lefty,MISSED,BHL,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,MISSEDB,0,0,,M,,MISSED,1,SPO_TT_2,SPO_TT_13,49376,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
102,103,3,2,13,1,Manush,SH-OS,BHH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-13,0,1,,Y,,,,,,,99,99,,,,,,,,,SH-OS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHH,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,FHHA,0,0,SH-OS,M,,FHH,2,SPO_TT_2,SPO_TT_13,49377,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
103,104,3,2,13,2,Wesley,FH-P,OUT,7-6,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-13,0,0,,,Y,,Wesley,OUT,Manush,Wesley,0,1,,,,,,SH-OS,FH-P,,SH-OS,FH-P,1,0,0,Manush,SH-OS,BHH,,,,,BHH,FHH,SH-OS,,SH-OS,Conditional,,,,,FHH,Lefty,OUT,FHH,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,OUTB,0,0,,M,,OUT,1,SPO_TT_2,SPO_TT_13,49378,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
104,105,3,2,14,1,Manush,FH-SSS,FHH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-14,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-SSS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHH,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,BHHA,0,0,,M,,BHH,3,SPO_TT_2,SPO_TT_13,49379,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
105,106,3,2,14,2,Wesley,FH-P,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-14,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-SSS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,FHLB,0,0,FH-P,M,,FHL,2,SPO_TT_2,SPO_TT_13,49380,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
106,107,3,2,14,3,Manush,FH-TS,OUT,7-7,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-14,1,1,Manush,,,,Manush,OUT,Wesley,Manush,1,0,FH-SSS-FH-TS,,FH-SSS-FH-P-FH-TS,FH-SSS-FH-TS,,FH-P,FH-TS,FH-SSS,FH-SSS,FH-P,0,1,0,,,,Wesley,FH-P,BHL,FH-SSS-FHH,BHL,FHL,FH-P,,FH-P,Conditional,,,,,FHL,Lefty,OUT,FHL,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,OUTA,0,0,,M,,OUT,1,SPO_TT_2,SPO_TT_13,49381,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
107,108,3,2,15,1,Wesley,FH-SBS,CS,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-15,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CS,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Others,Lefty,Lefty,CSB,0,0,,M,,CS,7,SPO_TT_2,SPO_TT_13,49382,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
108,109,3,2,15,2,Manush,FH-P,CH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-15,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CH,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Others,Lefty,Lefty,CHA,0,0,,M,,CH,6,SPO_TT_2,SPO_TT_13,49383,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
109,110,3,2,15,3,Wesley,BH-TS,BHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-15,1,1,,,,,,,,,99,99,FH-SBS-BH-TS,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Others,Lefty,Lefty,FHLB,0,0,,M,,FHL,5,SPO_TT_2,SPO_TT_13,49384,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
110,111,3,2,15,4,Manush,BH-BK,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-15,0,0,,,,,,,,,99,99,,FH-P-BH-BK,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Others,Lefty,Lefty,FHLA,0,0,,M,,FHL,4,SPO_TT_2,SPO_TT_13,49385,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
111,112,3,2,15,5,Wesley,BH-C,CL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-15,0,0,,,,,,,,,99,99,,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,Others,Lefty,Lefty,CLB,0,0,,M,,CL,3,SPO_TT_2,SPO_TT_13,49386,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
112,113,3,2,15,6,Manush,FH-TS,BHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-15,1,0,,,,,,,,,99,99,,,,,,,,,FH-SBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,Others,Lefty,Lefty,FHLA,0,0,FH-TS,M,,FHL,2,SPO_TT_2,SPO_TT_13,49387,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
113,114,3,2,15,7,Wesley,BH-BK,MISSED,7-8,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-15,0,0,Wesley,,,,Wesley,MISSED,Manush,Wesley,0,1,,,BH-C-FH-TS-BH-BK,BH-C-BH-BK,BHL-BHL,FH-TS,BH-BK,BH-C,FH-SBS,FH-P,0,0,0,,,,,,,,BHL,FHL,FH-TS,,FH-TS,Conditional,,,,,FHL,Lefty,MISSED,FHL,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,BHL-BHL,Others,Others,Lefty,Lefty,MISSEDB,0,0,,M,,MISSED,1,SPO_TT_2,SPO_TT_13,49388,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
114,115,3,2,16,1,Wesley,FH-SBL,EBHH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-16,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-SBL,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,EFHH,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,EFHHB,0,0,,M,,EFHH,3,SPO_TT_2,SPO_TT_13,49389,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
115,116,3,2,16,2,Manush,FH-P,CH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-2-16,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-SBL,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CH,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,CHA,0,0,FH-P,M,,CH,2,SPO_TT_2,SPO_TT_13,49390,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
116,117,3,2,16,3,Wesley,FH-TS,OUT,7-9,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-16,1,1,Wesley,,,,Wesley,OUT,Manush,Wesley,0,1,FH-SBL-FH-TS,,FH-SBL-FH-P-FH-TS,FH-SBL-FH-TS,,FH-P,FH-TS,FH-SBL,FH-SBL,FH-P,0,1,0,,,,Manush,FH-P,CH,FH-SBL-EBHH,CH,CH,FH-P,,FH-P,Conditional,,,,,CH,Lefty,OUT,CH,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,OUTB,0,0,,M,,OUT,1,SPO_TT_2,SPO_TT_13,49391,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
117,118,3,2,17,1,Manush,FH-BSL,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-17,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-BSL,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,FHLA,0,0,FH-BSL,M,,FHL,2,SPO_TT_2,SPO_TT_13,49392,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
118,119,3,2,17,2,Wesley,FH-TS,OUT,7-10,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-17,1,1,Wesley,,Y,,Wesley,OUT,Manush,Wesley,0,1,,,,,,FH-BSL,FH-TS,,FH-BSL,FH-TS,1,0,0,Manush,FH-BSL,BHL,,,,,BHL,FHL,FH-BSL,,FH-BSL,Conditional,,,,,FHL,Lefty,OUT,FHL,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,OUTB,0,0,,M,,OUT,1,SPO_TT_2,SPO_TT_13,49393,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
119,120,3,2,18,1,Manush,FH-RSSO,CL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-2-18,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-RSSO,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,CLA,0,0,,M,,CL,3,SPO_TT_2,SPO_TT_13,49394,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
120,121,3,2,18,2,Wesley,FH-TS,FHL,,,,,,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-2-18,1,1,,,Y,,,,,,99,99,,,,,,,,,FH-RSSO,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,BHLB,0,0,FH-TS,M,,BHL,2,SPO_TT_2,SPO_TT_13,49395,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
