,Match_No,Game,POINT,Shot_no,Played_by,Shot,ShotCodeIds,Placement,LUCKY,TIMEOUT,ErrorType,Player_A_Name,Player_B_Name,Date,PlayerType,PlayingStyle,RubberCombination,Opponent,Opponent_Player_Type,Gender,World_Rank,PLAYERA_ID,PLAYERB_ID,PlayerAType,PlayerBType,ProcessStatus,DataSource,DataLock,UploadId,Movement,Movement_new,X,Y,ProcessMessage,ProcessDatetime,MatchType,primary_key,AttackingNonAttacking,AttackingNonAttacking_New,SERVICE_BY,RECEIVE,Combination_field,BinaryofAttackShot,PlacementR_L,ErrorPlacementR_L,shots1_3,shots2_4,Reverse_Placement,last3_shots,lastAndThirdLast,lastAndThirdLast_Placement,Missed_Shot_By,Second_Last_Shot,Last_Shot,Third_Last_Shot,First_Shot,Second_Last_Reverse_Placement,SetWonby,Second_Shot,SCORE,SCOREA,SCOREB,pointon2ndshot,pointon3ndshot,pointon4ndshot,Lost_by,WON_BY,MISSED_SHOT_BY,WINNER_SHOT_BY,MissedType,AttackedFirst,Point3ServiceByName,Point3Shot,Point3placement,Point2ServiceByName,Point2Shot,Point2Placement,Serve_Place,Second_Last_Placement,WinnerShot,Loston4th_1stshot,Loston4th_2ndshot,Loston4th_3rdshot,Loston4th_4thshot,Errorplacement,Fourth_Last_Second_Last_Placement,WinnerShotGTL,Unconditional,Conditional,WinType,POINT_AttackCombination,Reverse_Row_ID
118,717,1,20,2,Payas Jain,BH-LP,"1,15",BHL,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,Y,717-1-20,1,BHL,BHL,,,FHL,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
119,717,1,20,3,Shubh Goel,BH-LP,"1,15",CH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,,717-1-20,1,CH,CH,FH-SBSO-BH-LP,,CH,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
120,717,1,20,4,Payas Jain,BH-TS,"1,33",CL,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,,717-1-20,1,CL,CL,,BH-LP-BH-TS,CL,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
121,717,1,20,5,Shubh Goel,BH-BK,"1,4",CH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,,,717-1-20,0,CH,CH,,,CH,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,BH-BK,,,,0,2
122,717,1,20,6,Payas Jain,BH-TS,"1,33",NET,,,Unforced,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,,717-1-20,1,NET,NET,,,NET,BH-TS-BH-BK-BH-TS,BH-TS-BH-TS,CH-CH,Payas Jain,BH-BK,BH-TS,BH-TS,,CH,Shubh Goel,0,9-11,0,1,0,0,0,Payas Jain,Shubh Goel,Payas Jain,,NET,Payas Jain,,,,,,,,CH,BH-BK,,,,,CH,CH,,,BH-BK,Conditional,0,1
123,717,2,1,0,Shubh Goel,SB,34,BHH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,,Service Bounce,,,717-2-1,0,BHH,BHH,,,BHH,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
124,717,2,1,1,Shubh Goel,FH-SSL,"11,26,14",CH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,Y,,717-2-1,0,CH,CH,,,CH,,,,,,,,FH-SSL,,,FH-TTS,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
125,717,2,1,2,Payas Jain,FH-TTS,"12,33",FHH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,,Y,717-2-1,0,FHH,FHH,,,BHH,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,FH-TTS,,,,0,2
126,717,2,1,3,Shubh Goel,FH-CTS,"11,7",NET,,,Unforced,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,,717-2-1,1,NET,NET,FH-SSL-FH-CTS,,NET,FH-SSL-FH-TTS-FH-CTS,FH-SSL-FH-CTS,,Shubh Goel,FH-TTS,FH-CTS,FH-SSL,,BHH,,0,1-0,1,0,0,1,0,Shubh Goel,Payas Jain,Shubh Goel,,NET,Shubh Goel,Payas Jain,FH-TTS,FHH,,,,FH-SSL-CH,FHH,FH-TTS,,,,,FHH,FHH,,,FH-TTS,Conditional,1,1
127,717,2,2,0,Shubh Goel,SB,34,BHL,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,,Service Bounce,,,717-2-2,0,BHL,BHL,,,BHL,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
